JobName : 643630-1-1-X
DateTime : July 1, 2025 11:09:35 EDT
OperatorName : gschliffka
LaserID : 05397
StageLabel : ANT130XY-160-E4
Calibrated : 0
CoefficientOfThermalExpansion : 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0
CountsPerUnit : 16250000
TestType : Angular
OpticLocation : 25mm Above Y TT
Payload : 5 kg
CalibrationFile : None
HomePositionSet : 0
TestOrientation : Lower Axis
MotionDirection : 1
AmplifierType : ACBrushlessLinear Rev(-) @ 10 Amps
CrossCalAxis : None
CrossCalFile : None
MoveVelocity : 25
MoveAcceleration : 75
StageSerialNumber : 519742-01

DBase Info
DriveFeedbackType : Incremental Encoder Sine Wave
DriveEncoderMultiplier : 65000
FirmwareVersion : 2.10.2.2512

Ignored

       Position           Yaw            Pitch             Roll        AirTemp
:START
   -80.00000000     -4.509347        -0.869108         1.814871         20.008
   -75.00000000     -4.529367        -0.922447         1.680096         20.008
   -70.00000000     -3.998372        -0.971208         2.141641         20.008
   -65.00000000     -3.600261        -0.528302         2.469815         20.008
   -60.00000000     -2.999578         0.063331         2.873219         20.008
   -55.00000000     -2.681563         0.441636         3.335220         20.008
   -50.00000000     -2.353896         0.761688         3.258317         20.008
   -45.00000000     -2.124750         0.573465         3.165144         20.008
   -40.00000000     -1.927149         0.756270         2.704742         20.008
   -35.00000000     -1.616788         0.875731         2.811987         20.008
   -30.00000000     -2.102691         0.802617         2.148408         20.000
   -25.00000000     -1.601625         0.496745         1.418857         20.000
   -20.00000000     -1.450108        -0.109032         1.071765         20.000
   -15.00000000     -0.798040        -0.312259         0.634321         20.000
   -10.00000000     -0.329713        -0.097155         0.631595         19.992
    -5.00000000     -0.628272        -0.439306         0.330292         19.992
     0.00000000      0.057989        -0.536969         0.271408         19.992
     5.00000000     -0.168199        -0.683339         0.164657         19.992
    10.00000000     -0.409878        -0.643503         0.427433         19.984
    15.00000000     -0.640374        -0.628630         0.403703         19.984
    20.00000000     -0.559802        -0.210397         0.476440         19.984
    25.00000000     -0.904443         0.021049         0.424739         19.984
    30.00000000     -1.063087         0.369757         0.640614         19.977
    35.00000000     -1.255392         0.751215         0.763704         19.977
    40.00000000     -1.275273         1.269130         0.869208         19.977
    45.00000000     -1.023707         1.653854         1.345109         19.977
    50.00000000     -1.426848         2.649414         1.695572         19.969
    55.00000000     -1.240685         3.127516         2.018585         19.969
    60.00000000     -1.338040         4.125524         2.280607         19.969
    65.00000000     -1.747157         5.050381         2.361680         19.969
    70.00000000     -1.463929         6.040514         2.337659         19.977
    75.00000000     -1.647310         6.684339         2.278052         19.977
    80.00000000     -1.618490         6.930921         2.060333         19.977
